flow_mol,cell_potential_V,current_A,j_Acm2,T_h2_out_K,T_o2_out_K,dT_K,safe
0.05,1.1,6946.94,0.021441,472.72,936.25,-463.53,0
0.1,1.1,13893.89,0.042882,472.72,936.25,-463.53,0
0.2,1.1,27787.78,0.085765,472.72,936.25,-463.53,0
0.3,1.1,41681.66,0.128647,472.72,936.25,-463.53,0
0.5,1.1,69469.44,0.214412,472.72,936.25,-463.53,0
0.05,1.15,6946.94,0.021441,639.02,972.42,-333.4,0
0.1,1.15,13893.89,0.042882,639.02,972.42,-333.4,0
0.2,1.15,27787.78,0.085765,639.02,972.42,-333.4,0
0.3,1.15,41681.66,0.128647,639.02,972.42,-333.4,0
0.5,1.15,69469.44,0.214412,639.02,972.42,-333.4,0
0.05,1.2,6946.94,0.021441,800.96,1009.3,-208.34,0
0.1,1.2,13893.89,0.042882,800.96,1009.3,-208.34,0
0.2,1.2,27787.78,0.085765,800.96,1009.3,-208.34,0
0.3,1.2,41681.66,0.128647,800.96,1009.3,-208.34,0
0.5,1.2,69469.44,0.214412,800.96,1009.3,-208.34,0
0.05,1.25,6946.94,0.021441,959.04,1046.18,-87.15,0
0.1,1.25,13893.89,0.042882,959.04,1046.18,-87.15,0
0.2,1.25,27787.78,0.085765,959.04,1046.18,-87.15,0
0.3,1.25,41681.66,0.128647,959.04,1046.18,-87.15,0
0.5,1.25,69469.44,0.214412,959.04,1046.18,-87.15,0
0.05,1.28,6946.94,0.021441,1052.1,1068.16,-16.06,1
0.1,1.28,13893.89,0.042882,1052.1,1068.16,-16.06,1
0.2,1.28,27787.78,0.085765,1052.1,1068.16,-16.06,1
0.3,1.28,41681.66,0.128647,1052.1,1068.16,-16.06,1
0.5,1.28,69469.44,0.214412,1052.1,1068.16,-16.06,1
